Year,GMSLV_in_mm_no_GIA,GMSLV_in_mm
2017.4717910,34.17,43.50
2017.4989570,35.01,43.73
2017.5261230,36.13,44.04
2017.5532890,37.51,44.45
2017.5804560,39.02,44.89
2017.6076220,40.47,45.22
2017.6347880,41.78,45.44
2017.6619540,42.87,45.53
2017.6891200,43.63,45.45
2017.7162860,44.03,45.24
2017.7434530,44.19,45.04
2017.7706190,44.33,45.09
2017.7977850,44.61,45.53
2017.8249510,44.99,46.32
2017.8521170,45.32,47.24
2017.8792830,45.40,48.05
2017.9064490,45.08,48.54
2017.9336160,44.32,48.61
2017.9607820,43.25,48.32
2017.9879480,42.10,47.87
2018.0151140,41.16,47.52
2018.0422800,40.51,47.34
2018.0694460,40.05,47.25
2018.0966130,39.62,47.10
2018.1237790,39.20,46.87
2018.1509450,38.80,46.65
2018.1781110,38.42,46.45
2018.2052770,37.94,46.18
2018.2324430,37.34,45.84
2018.2596090,36.79,45.60
2018.2867760,36.48,45.63
2018.3139420,36.47,45.97
2018.3411080,36.68,46.49
2018.3682740,36.99,47.05
2018.3954400,37.33,47.53
2018.4226060,37.66,47.81
2018.4497720,38.01,47.94
2018.4769390,38.49,47.97
2018.5041050,39.22,48.03
2018.5312710,40.19,48.16
2018.5584370,41.30,48.27
2018.5856030,42.49,48.36
2018.6127690,43.78,48.55
2018.6399360,45.26,48.94
2018.6671020,46.86,49.59
2018.6942680,48.40,50.33
2018.7214340,49.66,51.02
2018.7486000,50.48,51.53
2018.7757660,50.82,51.81
2018.8029320,50.66,51.87
2018.8300990,50.02,51.67
2018.8572650,48.97,51.25
2018.8844310,47.73,50.76
2018.9115970,46.55,50.39
2018.9387630,45.63,50.29
2018.9659290,45.05,50.49
2018.9930960,44.82,50.94
2019.0202620,44.90,51.60
2019.0474280,45.16,52.32
2019.0745940,45.40,52.89
2019.1017600,45.49,53.25
2019.1289260,45.45,53.40
2019.1560920,45.34,53.47
2019.1832590,45.19,53.50
2019.2104250,44.94,53.48
2019.2375910,44.58,53.39
2019.2647570,44.28,53.40
2019.2919230,44.17,53.64
2019.3190890,44.29,54.10
2019.3462560,44.49,54.61
2019.3734220,44.66,55.01
2019.4005880,44.85,55.28
2019.4277540,45.17,55.52
2019.4549200,45.67,55.75
2019.4820860,46.34,55.93
2019.5092520,47.18,56.08
2019.5364190,48.24,56.27
2019.5635850,49.58,56.59
2019.5907510,51.20,57.10
2019.6179170,52.91,57.68
2019.6450830,54.45,58.16
2019.6722490,55.57,58.33
2019.6994150,56.13,58.14
2019.7265820,56.16,57.66
2019.7537480,55.80,57.04
2019.7809140,55.28,56.54
2019.8080800,54.80,56.33
2019.8352460,54.50,56.51
2019.8624120,54.29,56.96
2019.8895790,53.93,57.36
2019.9167450,53.21,57.47
2019.9439110,52.08,57.15
2019.9710770,50.63,56.45
2019.9982430,49.06,55.56
2020.0253400,47.62,54.67
2020.0524320,46.49,54.00
2020.0795240,45.84,53.68
2020.1066160,45.68,53.77
2020.1337080,45.88,54.15
2020.1608000,46.19,54.62
2020.1878910,46.38,54.97
2020.2149830,46.35,55.17
2020.2420750,46.24,55.33
2020.2691670,46.27,55.67
2020.2962590,46.56,56.31
2020.3233510,47.02,57.11
2020.3504430,47.39,57.78
2020.3775350,47.42,58.03
2020.4046270,47.12,57.81
2020.4317190,46.73,57.33
2020.4588110,46.57,56.86
2020.4859030,46.82,56.60
2020.5129950,47.48,56.54
2020.5400870,48.39,56.55
2020.5671780,49.41,56.54
2020.5942700,50.51,56.53
2020.6213620,51.74,56.64
2020.6484540,53.05,56.90
2020.6755460,54.31,57.25
2020.7026380,55.34,57.55
2020.7297300,56.01,57.72
2020.7568220,56.33,57.82
2020.7839140,56.34,57.86
2020.8110060,56.05,57.88
2020.8380980,55.48,57.80
2020.8651900,54.65,57.64
2020.8922820,53.68,57.44
2020.9193740,52.81,57.39
2020.9464650,52.24,57.63
2020.9735570,52.04,58.18
2021.0006510,52.04,58.82
2021.0278170,51.98,59.31
2021.0549830,51.61,59.35
2021.0821500,50.86,58.93
2021.1093160,49.91,58.20
2021.1364820,49.10,57.58
2021.1636480,48.73,57.40
2021.1908140,48.90,57.77
2021.2179800,49.41,58.49
2021.2451460,49.93,59.29
2021.2723130,50.21,59.90
2021.2994790,50.22,60.25
2021.3266450,50.04,60.41
2021.3538110,49.82,60.49
2021.3809770,49.63,60.50
2021.4081430,49.54,60.47
2021.4353100,49.64,60.45
2021.4624760,50.03,60.52
2021.4896420,50.78,60.73
2021.5168080,51.88,61.07
2021.5439740,53.27,61.55
2021.5711400,54.81,62.04
2021.5983060,56.33,62.43
2021.6254730,57.65,62.64
2021.6526390,58.72,62.68
2021.6798050,59.60,62.66
2021.7069710,60.30,62.66
2021.7341370,60.81,62.72
2021.7613030,61.07,62.80
2021.7884690,60.98,62.79
2021.8156360,60.51,62.65
2021.8428020,59.74,62.42
2021.8699680,58.84,62.21
2021.8971340,57.98,62.15
2021.9243000,57.27,62.25
2021.9514660,56.73,62.51
2021.9786330,56.39,62.90
2022.0057990,56.21,63.34
2022.0329650,56.03,63.67
2022.0601310,55.62,63.67
2022.0872970,54.89,63.24
2022.1144630,53.92,62.49
2022.1416290,52.99,61.74
2022.1687960,52.40,61.33
2022.1959620,52.29,61.41
2022.2231280,52.54,61.91
2022.2502940,52.87,62.54
2022.2774600,52.99,62.99
2022.3046260,52.72,63.06
2022.3317930,52.04,62.73
2022.3589590,51.17,62.13
2022.3861250,50.45,61.60
2022.4132910,50.25,61.42
2022.4404570,50.73,61.74
2022.4676230,51.85,62.49
2022.4947890,53.31,63.36
2022.5219560,54.74,64.02
2022.5491220,55.98,64.31
2022.5762880,57.13,64.40
2022.6034540,58.40,64.55
2022.6306200,59.82,64.86
2022.6577860,61.17,65.20
2022.6849530,62.22,65.38
2022.7121190,62.90,65.40
2022.7392850,63.25,65.37
2022.7664510,63.31,65.29
2022.7936170,63.02,65.14
2022.8207830,62.35,64.83
2022.8479490,61.44,64.50
2022.8751160,60.97,64.74
2022.9022820,60.83,65.40
2022.9294480,60.84,66.23
2022.9566140,60.90,67.08
2022.9837800,60.97,67.86
